rule,final_score,acquisition_score,adaptation_score,flexibility_score,transfer_score,perseveration_penalty,pre_curve_exact,post_curve_exact,pre_probe_score,post_probe_score,pre_probe_soft_score,post_probe_soft_score,schema_success_rate,pre_query_score_1,pre_query_score_2,pre_query_score_3,pre_query_score_4,pre_query_score_5,post_query_score_1,post_query_score_2,post_query_score_3,post_query_score_4,post_query_score_5,pre_query_soft_score_1,pre_query_soft_score_2,pre_query_soft_score_3,pre_query_soft_score_4,pre_query_soft_score_5,post_query_soft_score_1,post_query_soft_score_2,post_query_soft_score_3,post_query_soft_score_4,post_query_soft_score_5
extension_pad_pad_val_0,0.5625,0.375,0.75,0.75,0.625,0.0,0.375,0.75,0.75,0.625,0.75,0.625,1.0,0.25,0.375,0.125,0.5,0.75,0.5,0.75,0.875,0.75,0.75,0.25,0.375,0.125,0.5,0.75,0.5,0.75,0.875,0.75,0.75
extension_pad_pad_val_1,0.325,0.3036,0.3929,0.3929,0.2857,0.0,0.3036,0.3929,0.7143,0.2857,0.7143,0.2857,1.0,0.0,0.1429,0.4286,0.4286,0.4286,0.2857,0.2857,0.2857,0.5714,0.5714,0.0,0.1429,0.4286,0.4286,0.4286,0.2857,0.2857,0.2857,0.5714,0.5714
extension_pad_pad_val_9,0.6969,0.875,0.6562,0.6562,0.5,0.0,0.875,0.6562,1.0,0.5,1.0,0.5,1.0,0.5,0.75,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.75,0.5,0.75,1.0,1.0,1.0,0.0,0.75,0.75,0.75,0.75
iteration_tile_axis_0,0.7597,0.9306,0.5139,0.5139,0.7778,0.0,0.9306,0.5139,1.0,0.7778,1.0,0.7778,1.0,0.6667,0.8889,1.0,1.0,1.0,0.3333,0.4444,0.5556,0.6667,0.4444,0.6667,0.8889,1.0,1.0,1.0,0.3333,0.4444,0.5556,0.6667,0.4444
iteration_tile_axis_1,0.5067,0.4808,0.5865,0.5865,0.4615,0.0,0.4808,0.5865,0.6154,0.4615,0.6154,0.4615,1.0,0.2308,0.3846,0.5385,0.6154,0.5385,0.5385,0.5385,0.6923,0.5385,0.6154,0.2308,0.3846,0.5385,0.6154,0.5385,0.5385,0.5385,0.6923,0.5385,0.6154
partitioning_crop_quadrant_1,0.7725,0.75,0.775,0.775,0.8,0.0,0.75,0.775,0.8,0.8,0.8,0.8,1.0,0.2,0.4,1.0,1.0,1.0,0.4,0.4,1.0,1.0,1.0,0.2,0.4,1.0,1.0,1.0,0.4,0.4,1.0,1.0,1.0
partitioning_crop_quadrant_2,0.4925,0.2,0.575,0.575,0.8,0.0,0.2,0.575,0.2,0.8,0.2,0.8,1.0,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.8,0.6,0.6,0.0,0.0,0.2,0.4,0.4,0.4,0.4,0.8,0.6,0.6
partitioning_crop_quadrant_3,0.5406,0.25,0.7188,0.7188,0.75,0.0,0.25,0.7188,0.0,0.75,0.0,0.75,1.0,0.5,0.0,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75,0.5,0.0,0.25,0.25,0.5,0.5,0.75,0.75,0.75,0.75
partitioning_crop_quadrant_4,0.4425,0.45,0.475,0.475,0.4,0.0,0.45,0.475,0.4,0.4,0.4,0.4,1.0,0.6,0.4,0.4,0.4,0.6,0.2,0.6,0.4,0.4,0.8,0.6,0.4,0.4,0.4,0.6,0.2,0.6,0.4,0.4,0.8
permutation_transpose,0.5375,0.5208,0.5972,0.5972,0.5,0.0,0.5208,0.5972,0.2778,0.5,0.2778,0.5,1.0,0.1667,0.5,0.5556,0.6667,0.5556,0.4444,0.6111,0.6111,0.6111,0.6667,0.1667,0.5,0.5556,0.6667,0.5556,0.4444,0.6111,0.6111,0.6111,0.6667
reindexing_spatial_shift_axis_0_shift_-1,0.8,0.5,1.0,1.0,1.0,0.0,0.5,1.0,0.6667,1.0,0.6667,1.0,1.0,0.6667,0.3333,0.6667,0.3333,0.6667,1.0,1.0,1.0,1.0,1.0,0.6667,0.3333,0.6667,0.3333,0.6667,1.0,1.0,1.0,1.0,1.0
reindexing_spatial_shift_axis_0_shift_1,0.6196,0.4643,0.7321,0.7321,0.7143,0.0,0.4643,0.7321,0.4286,0.7143,0.4286,0.7143,1.0,0.2857,0.5714,0.4286,0.4286,0.5714,1.0,0.7143,0.8571,0.5714,0.5714,0.2857,0.5714,0.4286,0.4286,0.5714,1.0,0.7143,0.8571,0.5714,0.5714
reindexing_spatial_shift_axis_1_shift_-1,0.6344,0.625,0.5312,0.5312,0.75,0.0,0.625,0.5312,0.5,0.75,0.5,0.75,1.0,0.25,0.5,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.5,0.25,0.5,0.75,0.75,0.75,0.25,0.5,0.5,0.75,0.5
reindexing_spatial_shift_axis_1_shift_1,0.4938,0.7188,0.4375,0.4375,0.25,0.0,0.7188,0.4375,0.5,0.25,0.5,0.25,1.0,0.5,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.375,0.5,0.5,0.75,0.75,0.75,0.75,0.25,0.5,0.5,0.375,0.5
